week,case
1,0.0134
2,0.0144
3,0.0097
4,0.0123
5,0.0232
6,0.021
7,0.0202
8,0.0286
9,0.0174
10,0.0238
11,0.0278
12,0.0195
13,0.0162
14,0.0158
15,0.0205
16,0.0132
17,0.0107
18,0.0092
19,0.0097
20,0.01
21,0.008
22,0.0048
23,0.005
24,0.0068
25,0.0123
26,0.0112
27,0.0151
28,0.0169
29,0.018
30,0.0241
31,0.0229
32,0.0258
33,0.0286
34,0.0363
35,0.0434
36,0.0564
37,0.0534
38,0.0601
39,0.0707
40,0.0731
41,0.0934
42,0.0874
43,0.0753
44,0.0695
45,0.071
46,0.0745
47,0.0955
48,0.0963
49,0.1022
50,0.1059
51,0.104
52,0.0971
53,0.0743
54,0.0589
55,0.0441
56,0.0472
57,0.0456
58,0.0412
59,0.0347
60,0.0326
61,0.0296
62,0.0271
63,0.0253
64,0.023
65,0.0216
66,0.0177
67,0.0133
68,0.0163
69,0.0034
70,0.0063
71,0.0043
72,0.0052
73,0.0029
74,0.0044
75,0.0027
76,0.0042
77,0.004
78,0.0045
79,0.0024
80,0.0026
81,0.0038
82,0.0041
83,0.0048
84,0.006
85,0.0051
86,0.0082
87,0.0101
88,0.0132
89,0.015
90,0.0164
91,0.0171
92,0.0223
93,0.0291
94,0.0328
95,0.0244
96,0.0225
97,0.0266
98,0.0353
99,0.0425
100,0.059
101,0.0566
102,0.0772
103,0.0885
104,0.107
105,0.106
106,0.1085
107,0.1034
108,0.0948
109,0.0797
110,0.0715
111,0.0966
112,0.0658
113,0.0641
114,0.052
115,0.0451
116,0.0428
117,0.0298
118,0.023
119,0.0152
120,0.0139
121,0.015
122,0.0118
123,0.0097
124,0.0042
125,0.0067
126,0.0081
127,0.0038
128,0.0023
129,0.0018
130,0.0036
131,0.0025
132,0.003
133,0.006
134,0.0036
135,0.0066
136,0.0066
137,0.0056
138,0.0077
139,0.0086
140,0.007
141,0.0091
142,0.0131
143,0.0115
144,0.0113
145,0.016
146,0.0172
147,0.0161
148,0.0131
149,0.0188
150,0.0146
151,0.0298
152,0.0353
153,0.0417
154,0.0478
155,0.0607
156,0.0702
157,0.073
158,0.0751
