week,case
1,0.0744
2,0.078
3,0.0784
4,0.0713
5,0.0776
6,0.0688
7,0.0592
8,0.041
9,0.039
10,0.027
11,0.037
12,0.026
13,0.0216
14,0.0585
15,0.0155
16,0.0102
17,0.0106
18,0.0065
19,0.009
20,0.0103
21,0.0033
22,0.0044
23,0.0032
24,0.0037
25,0.0031
26,0.0029
27,0.0034
28,0.0053
29,0.0058
30,0.0069
31,0.0093
32,0.0067
33,0.0076
34,0.0072
35,0.0116
36,0.0115
37,0.0121
38,0.0111
39,0.0155
40,0.0128
41,0.021
42,0.0276
43,0.0231
44,0.0338
45,0.0319
46,0.0483
47,0.0606
48,0.0726
49,0.0899
50,0.1022
51,0.1123
52,0.1181
53,0.1102
54,0.1298
55,0.1004
56,0.0838
57,0.0746
58,0.0567
59,0.0482
60,0.0314
61,0.0258
62,0.0259
63,0.0187
64,0.009
65,0.0099
66,0.0079
67,0.0056
68,0.009
69,0.0074
70,0.0046
71,0.0031
72,0.0061
73,0.0035
74,0.0034
75,0.0033
76,0.0015
77,0.0004
78,0.0019
79,0.0005
80,0.0027
81,0.0019
82,0.0021
83,0.0011
84,0.002
85,0.002
86,0.0039
87,0.0047
88,0.0029
89,0.0048
90,0.006
91,0.0066
92,0.0065
93,0.008
94,0.0099
95,0.0087
96,0.0092
97,0.0085
98,0.0097
99,0.0152
100,0.0139
101,0.0176
102,0.0267
103,0.0379
104,0.0458
105,0.0515
106,0.068
107,0.0729
108,0.0778
109,0.069
110,0.0734
111,0.0644
112,0.07
113,0.0572
114,0.0524
115,0.0484
116,0.0401
117,0.0359
118,0.0284
119,0.021
120,0.0138
121,0.015
122,0.0138
123,0.01
124,0.011
125,0.0055
126,0.0043
127,0.0046
128,0.0019
129,0.0028
130,0.003
131,0.0042
132,0.0057
133,0.0027
134,0.0062
135,0.0065
136,0.0042
137,0.0035
138,0.0023
139,0.0056
140,0.0042
141,0.0048
142,0.007
143,0.0125
144,0.014
145,0.0171
146,0.0174
147,0.0187
148,0.0115
149,0.0177
150,0.0172
151,0.0204
152,0.0197
153,0.0233
154,0.0267
155,0.0353
156,0.049
157,0.0548
158,0.0674
