week,case
1,0.0593
2,0.0399
3,0.0637
4,0.0599
5,0.0726
6,0.0931
7,0.0894
8,0.0801
9,0.0763
10,0.0907
11,0.0952
12,0.0973
13,0.09
14,0.0652
15,0.0295
16,0.0543
17,0.0439
18,0.0335
19,0.0229
20,0.0213
21,0.0119
22,0.0199
23,0.0107
24,0.0053
25,0.0134
26,0.0032
27,0.0018
28,0.0038
29,0.0057
30,0.0066
31,0.0062
32,0.0087
33,0.0066
34,0.0084
35,0.0086
36,0.0036
37,0.0062
38,0.0036
39,0.0041
40,0.0133
41,0.0106
42,0.0135
43,0.016
44,0.0158
45,0.0225
46,0.0353
47,0.0501
48,0.0529
49,0.0899
50,0.0897
51,0.093
52,0.1044
53,0.1152
54,0.1101
55,0.099
56,0.0924
57,0.0799
58,0.0702
59,0.054
60,0.0328
61,0.0368
62,0.0215
63,0.0162
64,0.006
65,0.0128
66,0.0067
67,0.0123
68,0.0084
69,0.006
70,0.0083
71,0.0025
72,0.0027
73,0.0017
74,0.003
75,0.0031
76,0.0015
77,0.0013
78,0
79,0.001
80,0.0057
81,0.0033
82,0.001
83,0.0022
84,0.0054
85,0.0112
86,0.0076
87,0.0087
88,0.0164
89,0.0151
90,0.0101
91,0.0093
92,0.011
93,0.0051
94,0.0091
95,0.0121
96,0.0147
97,0.0149
98,0.0198
99,0.0209
100,0.0208
101,0.0261
102,0.0345
103,0.0403
104,0.0557
105,0.0698
106,0.0755
107,0.0694
108,0.0781
109,0.0717
110,0.0727
111,0.089
112,0.0769
113,0.074
114,0.054
115,0.0498
116,0.0474
117,0.0386
118,0.0686
119,0.0467
120,0.0246
121,0.023
122,0.0218
123,0.0126
124,0.0085
125,0.0058
126,0.0103
127,0.0089
128,0.0015
129,0.0027
130,0.0035
131,0.0035
132,0.0023
133,0.0012
134,0
135,0.0044
136,0.0012
137,0.0041
138,0.0044
139,0.0055
140,0.001
141,0.0098
142,0.0142
143,0.0125
144,0.0215
145,0.0158
146,0.0207
147,0.0127
148,0.0296
149,0.0154
150,0.017
151,0.027
152,0.0332
153,0.0285
154,0.0416
155,0.0376
156,0.042
157,0.056
158,0.0648
