week,case
1,0.1118
2,0.1008
3,0.0607
4,0.0832
5,0.0918
6,0.0789
7,0.0809
8,0.0564
9,0.0541
10,0.0313
11,0.0401
12,0.0274
13,0.0211
14,0.0227
15,0.0038
16,0.0076
17,0.0022
18,0.004
19,0.0041
20,0
21,0
22,0
23,0
24,0
25,0
26,0.003
27,0.004
28,0.0029
29,0
30,0
31,0
32,0.0054
33,0.0072
34,0.0033
35,0.002
36,0.0107
37,0.0104
38,0.0059
39,0.0058
40,0.0119
41,0.0161
42,0.0298
43,0.0298
44,0.0276
45,0.0233
46,0.0366
47,0.0385
48,0.061
49,0.0796
50,0.0889
51,0.1064
52,0.1339
53,0.1037
54,0.094
55,0.1126
56,0.1017
57,0.0816
58,0.0586
59,0.0694
60,0.042
61,0.0277
62,0.0163
63,0.0221
64,0.0073
65,0
66,0.0063
67,0.0057
68,0.003
69,0.0015
70,0.0043
71,0.0086
72,0.0057
73,0.0014
74,0.0026
75,0.0012
76,0
77,0
78,0
79,0
80,0.001
81,0.001
82,0.0019
83,0.001
84,0.0035
85,0.0032
86,0.001
87,0.0036
88,0.0019
89,0.0041
90,0.0044
91,0.0052
92,0.0067
93,0.011
94,0.0081
95,0.0065
96,0.0055
97,0.0071
98,0.0123
99,0.0128
100,0.0183
101,0.0342
102,0.0244
103,0.0309
104,0.0347
105,0.0482
106,0.0797
107,0.0629
108,0.0803
109,0.077
110,0.0734
111,0.0844
112,0.0751
113,0.1014
114,0.0711
115,0.0581
116,0.0547
117,0.0393
118,0.0212
119,0.0217
120,0.0114
121,0.0128
122,0.0025
123,0.0072
124,0.0037
125,0
126,0.0012
127,0.0032
128,0.0011
129,0.0039
130,0.002
131,0
132,0.0029
133,0.0021
134,0.0011
135,0.0022
136,0.0049
137,0.0028
138,0.0072
139,0.0055
140,0.0027
141,0.015
142,0.0084
143,0.0115
144,0.0146
145,0.0174
146,0.0256
147,0.0252
148,0.0226
149,0.0159
150,0.0297
151,0.0277
152,0.0373
153,0.0356
154,0.0413
155,0.0471
156,0.0493
157,0.0645
158,0.0673
