week,case
1,0.0269
2,0.0328
3,0.0526
4,0.0758
5,0.068
6,0.0783
7,0.0731
8,0.0826
9,0.0914
10,0.085
11,0.0753
12,0.0874
13,0.0615
14,0.0825
15,0.0471
16,0.0462
17,0.0345
18,0.0378
19,0.0251
20,0.0237
21,0.0245
22,0.0078
23,0.0105
24,0.008
25,0.0133
26,0.0063
27,0.0108
28,0.0074
29,0.0118
30,0.0026
31,0.0072
32,0.0072
33,0.0082
34,0.0137
35,0.0122
36,0.0141
37,0.0266
38,0.0242
39,0.0248
40,0.0261
41,0.029
42,0.0404
43,0.0456
44,0.0435
45,0.052
46,0.0637
47,0.0723
48,0.1014
49,0.1307
50,0.1385
51,0.1146
52,0.1262
53,0.116
54,0.1037
55,0.0652
56,0.0809
57,0.0611
58,0.034
59,0.0255
60,0.0287
61,0.0274
62,0.0256
63,0.0179
64,0.0088
65,0.0064
66,0.0104
67,0.011
68,0.0056
69,0.0039
70,0.0063
71,0.0062
72,0
73,0.0079
74,0.0065
75,0.0057
76,0.0053
77,0.0029
78,0
79,0.003
80,0.0027
81,0.0038
82,0.0026
83,0.0065
84,0.0061
85,0.008
86,0.0079
87,0.0063
88,0.0109
89,0.0103
90,0.0104
91,0.0043
92,0.0082
93,0.0134
94,0.0143
95,0.0109
96,0.0167
97,0.0059
98,0.0274
99,0.0223
100,0.0365
101,0.0493
102,0.0474
103,0.0427
104,0.052
105,0.0668
106,0.0643
107,0.0902
108,0.0782
109,0.0847
110,0.0578
111,0.0671
112,0.0522
113,0.0369
114,0.0224
115,0.0413
116,0.0345
117,0.0345
118,0.0195
119,0.0189
120,0.0196
121,0.0044
122,0.0016
123,0.0103
124,0.0054
125,0.0071
126,0.0056
127,0.0068
128,0.0056
129,0.0057
130,0.0013
131,0.0045
132,0.0092
133,0.0032
134,0.0041
135,0.0057
136,0.004
137,0.0054
138,0.0022
139,0.0032
140,0.0084
141,0.0078
142,0.0105
143,0.0124
144,0.0172
145,0.0141
146,0.0181
147,0.0157
148,0.0158
149,0.0122
150,0.0213
151,0.0141
152,0.0158
153,0.0193
154,0.019
155,0.0241
156,0.0186
157,0.0348
158,0.0351
