week,case
1,0.0264
2,0.0239
3,0.0389
4,0.0485
5,0.0407
6,0.0482
7,0.0546
8,0.0414
9,0.0544
10,0.0553
11,0.0481
12,0.0555
13,0.0556
14,0.0447
15,0.0376
16,0.0339
17,0.0271
18,0.0239
19,0.0197
20,0.0123
21,0.0126
22,0.0117
23,0.0082
24,0.0029
25,0.0072
26,0.0026
27,0.0041
28,0.0022
29,0.0042
30,0.0065
31,0.007
32,0.0083
33,0.0072
34,0.014
35,0.0096
36,0.0152
37,0.0141
38,0.0134
39,0.0151
40,0.0237
41,0.0219
42,0.0271
43,0.0249
44,0.0344
45,0.0354
46,0.0444
47,0.0648
48,0.0641
49,0.091
50,0.0917
51,0.0908
52,0.0884
53,0.0756
54,0.075
55,0.0604
56,0.0549
57,0.0449
58,0.0354
59,0.031
60,0.0216
61,0.0169
62,0.0171
63,0.0131
64,0.0079
65,0.0061
66,0.009
67,0.0052
68,0.0078
69,0.0043
70,0.0041
71,0.0068
72,0.0033
73,0.0026
74,0.0054
75,0.0015
76,0.0029
77,0.0032
78,0.0037
79,0.0032
80,0.0016
81,0.0027
82,0.0059
83,0.0038
84,0.0044
85,0.0066
86,0.011
87,0.0126
88,0.0127
89,0.0129
90,0.0112
91,0.011
92,0.0153
93,0.0127
94,0.0171
95,0.0119
96,0.0109
97,0.0115
98,0.0198
99,0.0213
100,0.0203
101,0.028
102,0.0276
103,0.0419
104,0.0506
105,0.0526
106,0.0639
107,0.0714
108,0.0602
109,0.0562
110,0.0522
111,0.0503
112,0.0399
113,0.0321
114,0.0372
115,0.0296
116,0.0273
117,0.021
118,0.02
119,0.0164
120,0.0171
121,0.0094
122,0.0087
123,0.0082
124,0.0076
125,0.0052
126,0.0066
127,0.0022
128,0.0058
129,0.0024
130,0.0043
131,0.0034
132,0.0035
133,0.004
134,0.0053
135,0.0082
136,0.0068
137,0.0095
138,0.0061
139,0.0079
140,0.0108
141,0.0068
142,0.0115
143,0.0088
144,0.0107
145,0.0107
146,0.0148
147,0.013
148,0.01
149,0.0066
150,0.0097
151,0.0116
152,0.0117
153,0.0151
154,0.014
155,0.0162
156,0.0251
157,0.0313
158,0.0418
