Region,Parameter,Estimate,CI95_lower,CI95_upper,CI_status,Lower_bound,Upper_bound,Estimate_near_lower_bound,Estimate_near_upper_bound,Estimate_with_95CI
R9,alpha2,2.4972796593063515,0.4253615835418064,3.3044730120543226,finite,0.01,30.0,False,False,"2.4973 [0.42536, 3.3045]"
R9,kappa1,0.6305328639273229,0.29410635017540365,0.7103285135443457,finite,0.001,0.999,False,False,"0.63053 [0.29411, 0.71033]"
R9,phi,1.1106311052858377,0.9985367636167638,1.172974749535581,finite,0.0,6.283185307179586,False,False,"1.1106 [0.99854, 1.173]"
R9,lambda,0.2426332167109854,0.167992384568247,0.8276585651006056,finite,0.05,10.0,False,False,"0.24263 [0.16799, 0.82766]"
R9,theta,0.05313317299005353,0.049401926167117687,0.05893594931293463,finite,0.001,0.5,False,False,"0.053133 [0.049402, 0.058936]"
R9,psi,3.4102678491892635,2.0338584329031777,4.823134902837468,finite,0.001,100.0,False,False,"3.4103 [2.0339, 4.8231]"
R10,alpha1,0.010000000000000002,0.01,0.3058384987948029,lower_bound_limited,0.01,30.0,True,False,"0.01 [0.01, 0.30584]*"
R10,alpha2,2.561494394660695,1.7427582624384201,3.2008034176885976,finite,0.01,30.0,False,False,"2.5615 [1.7428, 3.2008]"
R10,kappa1,0.6930843723933477,0.6073218952746727,0.7580054102176964,finite,0.001,0.999,False,False,"0.69308 [0.60732, 0.75801]"
R10,phi,0.7733501898492762,0.7181278342716865,0.7884189599088658,finite,0.0,6.283185307179586,False,False,"0.77335 [0.71813, 0.78842]"
R10,lambda,0.29988358424871076,0.21604689214617834,0.46518410172680985,finite,0.05,10.0,False,False,"0.29988 [0.21605, 0.46518]"
R10,theta,0.03469466981634665,0.033234404906462935,0.03742602616929376,finite,0.001,0.5,False,False,"0.034695 [0.033234, 0.037426]"
R10,psi,2.69136513708212,2.115540709891696,3.5013700737453535,finite,0.001,100.0,False,False,"2.6914 [2.1155, 3.5014]"
