week,case
1,0.0546
2,0.05
3,0.0503
4,0.0553
5,0.0483
6,0.0467
7,0.0468
8,0.0564
9,0.0378
10,0.0567
11,0.0454
12,0.0515
13,0.0396
14,0.0359
15,0.0384
16,0.0151
17,0.0108
18,0.0096
19,0.0069
20,0.0114
21,0.0088
22,0.0102
23,0.0054
24,0.0054
25,0.0086
26,0.006
27,0.0116
28,0.0132
29,0.0144
30,0.0144
31,0.0213
32,0.0155
33,0.0241
34,0.0324
35,0.0244
36,0.0219
37,0.0264
38,0.0229
39,0.0351
40,0.0338
41,0.051
42,0.0477
43,0.0544
44,0.0648
45,0.0633
46,0.0627
47,0.0887
48,0.1078
49,0.1056
50,0.1212
51,0.1179
52,0.1337
53,0.1332
54,0.0831
55,0.0938
56,0.0987
57,0.0645
58,0.0559
59,0.0463
60,0.0303
61,0.0178
62,0.0334
63,0.0223
64,0.0164
65,0.0059
66,0.015
67,0.0098
68,0.0061
69,0.0026
70,0.0059
71,0.0067
72,0.0054
73,0.0027
74,0.0024
75,0.0008
76,0.0054
77,0.0021
78,0.0043
79,0.002
80,0.0028
81,0.0056
82,0.0031
83,0.0037
84,0.0036
85,0.0035
86,0.0036
87,0.005
88,0.0071
89,0.009
90,0.0098
91,0.0119
92,0.01
93,0.0122
94,0.0164
95,0.0208
96,0.0206
97,0.0238
98,0.0317
99,0.0366
100,0.0458
101,0.0694
102,0.082
103,0.0862
104,0.0997
105,0.0966
106,0.117
107,0.0136
108,0.0857
109,0.0806
110,0.0686
111,0.0759
112,0.0749
113,0.0539
114,0.0487
115,0.0489
116,0.0315
117,0.0334
118,0.0227
119,0.0246
120,0.0149
121,0.0152
122,0.0113
123,0.0072
124,0.0052
125,0.0052
126,0.0062
127,0.0007
128,0.0041
129,0.0035
130,0.002
131,0.0072
132,0.0026
133,0.002
134,0.0031
135,0.0067
136,0.0045
137,0.0045
138,0.004
139,0.0081
140,0.0058
141,0.0072
142,0.0069
143,0.0133
144,0.0066
145,0.0151
146,0.0141
147,0.0156
148,0.0172
149,0.0151
150,0.0227
151,0.0254
152,0.0289
153,0.0388
154,0.0555
155,0.0479
156,0.0758
157,0.0678
158,0.0716
