week,case
1,0.0367
2,0.0425
3,0.0506
4,0.0474
5,0.0496
6,0.0652
7,0.0609
8,0.0525
9,0.0393
10,0.0514
11,0.0627
12,0.061
13,0.0339
14,0.0343
15,0.0396
16,0.0215
17,0.0154
18,0.0209
19,0.0204
20,0.0126
21,0.0195
22,0.0068
23,0.0076
24,0.0127
25,0.0125
26,0.0024
27,0.0091
28,0.0101
29,0.0119
30,0.0127
31,0.0117
32,0.0163
33,0.0153
34,0.0158
35,0.0139
36,0.0139
37,0.0136
38,0.0122
39,0.0177
40,0.0216
41,0.029
42,0.0492
43,0.0289
44,0.0448
45,0.0555
46,0.0774
47,0.0857
48,0.1007
49,0.1172
50,0.1092
51,0.1104
52,0.1115
53,0.0978
54,0.0824
55,0.0718
56,0.0615
57,0.061
58,0.0521
59,0.0321
60,0.0253
61,0.0079
62,0.009
63,0.0071
64,0.0073
65,0.0086
66,0.004
67,0.0113
68,0.013
69,0.0067
70,0.0063
71,0.0034
72,0.0032
73,0.0103
74,0.0153
75,0.0148
76,0.0059
77,0.0038
78,0.0048
79,0.0055
80,0.002
81,0.0125
82,0.0049
83,0.0029
84,0.0061
85,0.0044
86,0.0066
87,0.0063
88,0.0067
89,0.0028
90,0.0057
91,0.0083
92,0.0069
93,0.0061
94,0.0073
95,0.0072
96,0.0081
97,0.0093
98,0.011
99,0.0147
100,0.0197
101,0.0374
102,0.0335
103,0.0349
104,0.0672
105,0.07
106,0.0787
107,0.0914
108,0.0869
109,0.0739
110,0.0856
111,0.0649
112,0.0614
113,0.0459
114,0.0686
115,0.0545
116,0.0532
117,0.0407
118,0.0307
119,0.0249
120,0.0213
121,0.0199
122,0.0088
123,0.0111
124,0.0069
125,0.0144
126,0.0173
127,0.0129
128,0.0065
129,0.0028
130,0.0028
131,0.0041
132,0.0052
133,0.0122
134,0.0064
135,0.0046
136,0.0078
137,0.0069
138,0.0115
139,0.0117
140,0.0126
141,0.0112
142,0.0079
143,0.0084
144,0.0134
145,0.01
146,0.0119
147,0.0122
148,0.0129
149,0.011
150,0.0114
151,0.0131
152,0.0219
153,0.0158
154,0.017
155,0.0196
156,0.0337
157,0.057
158,0.0513
