week,case
1,0.0081
2,0.0133
3,0.0163
4,0.0117
5,0.0204
6,0.0176
7,0.0216
8,0.0216
9,0.0172
10,0.0182
11,0.0252
12,0.0236
13,0.0265
14,0.0224
15,0.0194
16,0.0138
17,0.016
18,0.0138
19,0.009
20,0.0139
21,0.0031
22,0.0092
23,0.0079
24,0.0131
25,0.0116
26,0.0109
27,0.0183
28,0.0166
29,0.0147
30,0.0093
31,0.014
32,0.01
33,0.0168
34,0.0202
35,0.0272
36,0.0283
37,0.0208
38,0.0252
39,0.0294
40,0.0261
41,0.0408
42,0.0407
43,0.037
44,0.0421
45,0.0342
46,0.0495
47,0.0614
48,0.0531
49,0.0598
50,0.0583
51,0.0667
52,0.0523
53,0.05
54,0.048
55,0.0551
56,0.042
57,0.0307
58,0.0323
59,0.0226
60,0.0164
61,0.0216
62,0.0225
63,0.0158
64,0.012
65,0.0133
66,0.0052
67,0.0061
68,0.0091
69,0.0071
70,0.0026
71,0.004
72,0.0031
73,0.0023
74,0.0014
75,0.0047
76,0.0054
77,0.0029
78,0.0011
79,0.0039
80,0.0034
81,0.0063
82,0.0046
83,0.0074
84,0.0074
85,0.005
86,0.0086
87,0.0077
88,0.0092
89,0.0081
90,0.0093
91,0.0097
92,0.0071
93,0.0099
94,0.0114
95,0.0113
96,0.012
97,0.0141
98,0.0218
99,0.0293
100,0.0316
101,0.0405
102,0.0501
103,0.0634
104,0.0866
105,0.0909
106,0.0648
107,0.0908
108,0.0762
109,0.055
110,0.0547
111,0.0418
112,0.0494
113,0.045
114,0.047
115,0.0349
116,0.032
117,0.0352
118,0.0163
119,0.0152
120,0.0169
121,0.0116
122,0.0097
123,0.0107
124,0.0051
125,0.008
126,0.0045
127,0.0047
128,0.0036
129,0.0029
130,0.0004
131,0.0023
132,0.002
133,0.0034
134,0.0021
135,0.0022
136,0.0042
137,0.0042
138,0.0061
139,0.0024
140,0.0056
141,0.0091
142,0.0068
143,0.0083
144,0.0103
145,0.0084
146,0.0088
147,0.0106
148,0.012
149,0.0091
150,0.0109
151,0.0099
152,0.0154
153,0.0189
154,0.0197
155,0.0244
156,0.0292
157,0.0442
158,0.0547
